Tweet,Sentiment,Subject
"A better fit than Damian lillard, make it HAPPEN",1,0
Dame + Giannis is going to be INSANE to watch. Excited to see you have a legit shot to compete for a title.,2,0
"(Not accusing you of saying Dame trade to MIA was a matter of ""when"")",1,0
Lillard & Giannis = ,1,0
"Let’s gooooo way better than to the heat, honorary bucks fan this season",2,0
Damian Lillard traded to Bucks https://12ozsports.com/damian-lillard-traded-bucks/… #NBA #Milwaukeebucks,1,0
"The Bucks are now the favorite to win the NBA title, per 
@BetMGM
.",2,0
"Rest of the NBA: How in the Hell did the Milwaukee Bucks manage to trade for Damian Lillard a Snickers and a bag of chips Investigate them for Tampering!!

 Jon Horst:",2,0
"My favorite moments of Damian Lillard’s 11 amazing years in Portland, thank you Dame for everything you did for the city of Portland  and for the fans 
@Dame_Lillard",1,0
"""Damian Lillard's: Game-Changing Trade: Milwaukee Bucks: NBA Trades:""** ... https://youtu.be/r1CI80dPlIs?si=NPgPcjWzg8jONDq-… via 
@YouTube",1,0
They def do ,1,0
"How do you #Lillard trade the biggest name in the #NBA with two other teams and come out last in the trade  asking for a friend….   
@Dame_Lillard
 @NBA
 @trailblazers
 @Bucks",0,0
Getting a Damian Lillard tattoo on my butthole. The letter O  anyone who doesn’t is a casual,1,0
The fire takes give it away don’t they? Unfortunately Ti bears the burden of being my youngest cuz. Been a privilege to watch/listen to him ascend the ranks of Bucks/NBA talk over the years.,1,0
"Now if you are the Milwaukee Bucks, let’s face it, you traded the best defensive point guard in the ligg for perhaps the weakest defensive point guard in the ligg, never mind the fact that Lillard doesn’t exactly win any perfect attendance awards.",0,1
This is gonna destroy all the Dame x Giannis hype,0,0
Dame X Giannis> Curry X Durant,2,0
"We discussed the massive dame trade that took place today, come give it a listen!!!",1,0
The NEW LOOK Milwaukee Bucks ,1,0
"So sad  for me as a 
@trailblazers
 fan, but so excited  for me as a 
@Dame_Lillard
 and 
@Giannis_An34
 fan! Much love  and respect  to you DAME! Go get that ring! I’ll be rooting for you always! 
#RipCity #FearTheDeer 
#DameTime",2,0
Dame requested a trade & then wrote a Hit Em Up type song for the Blazers when they finally traded him #ThisLeague,1,0
"Are the Bucks headed to the Finals with Giannis and Dame? 
@YourManDevine
 & 
@VinceGoodwill
 discuss 

https://youtu.be/0VV1VLE4UhwAPPLE…
https://apple.co/3PUxqjT
https://spoti.fi/3EWPzag",1,0
"The Milwaukee Bucks are a two headed dragon...

The Boston Celtics are Hydra.",0,0
">picked up Achane off waivers this morning
>found out I got first pick in nba fantasy
>DAME TO MILWAUKEE
I USED TO PRAY FOR TIMES LIKE THESE",2,0
kd and book ofc,1,0
Giannis and Dame on the Bucks makes the offense better ,2,2
"The Milwaukee Bucks are championship contenders, folks. And with Giannis Antetokounmpo and Damian Lillard together, that's going to be true for YEARS. 

This is exciting. REALLY exciting. 

The Bucks, man. Whew.",2,0
Lillard when Giannis dunks the ball 40 times and has 85 points while lillard sits in the corner all game,0,2
".
@JoyTaylorTalks
 gives her reaction to Damian Lillard being traded to the Bucks.",1,0
i will stop them,1,0
"It's okay to be super pumped about Dame to the Bucks and also be sorry to see Jrue leave

No Jrue = No 2021 NBA title for Milwaukee and he's also a great dude",1,0
That first Dame to Giannis LOB gonna hit like crack in the 80s,2,2
Me mainlining “emergency pods” on this Dame-to-the-Bucks trade.,1,0
"BREAKING: Los Angeles Lakers are trading 
@kabhhz
 to the Milwaukee Bucks, sources tell ESPN.",1,0
"WOW!!!

This is such a great situation for Dame. It might even convince Giannis to stay even longer with the Bucks.

Miami and others would've had to gut their teams to get Dame and he'd have been worse off.

Now he goes to a title contender with a massive superstar.",2,0
"""I think of Kevin Garnett mostly as a Celtic. This would be the crowning achievement if Dame won a championship [with the Bucks]."" — 
@kevinwildes",2,0
As a knicks fan i would of threw up if Dame went to Miami thanks nba gods,1,0
I don’t think the Bucks won the Damian Lillard trade.,0,0
These both relatively healthy players,1,0
"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",1,0
"Dame lands at the Bucks, Pippen & LMA in town & just a little game of hoops in Melbourne tonight. SuperCoach locks out, make sure you get your teams in. Bring on #NBL24!!
I’ll post a stack of SuperCoach stuff today - most of it free - and some NBL reading for anyone interested.",1,0
"WE ARE LIVE ON 
@BR_NBA
 !!!
@gnavas103
 breaks down the Dame trade to the 
@Bucks
 and where the 
@MiamiHEAT
 go from here

Tune in live :",1,0
"Are you betting the 
@Bucks
 to the 2023-24 NBA title after they traded for 
@Dame_Lillard
?",1,0
The Nuggets can't be slept on despite the Dame Lillard trade. DEN still has a well-balanced team and Jamal Murray in the playoffs has been as good Dame. Giannis vs Jokic would be the difference in that series.,1,0
"75 players used at least 2 isolation possessions per game in ‘22-‘23

Dame was the 2nd most efficient at 1.13 points per possession on 5.0 IOSs per game

Jrue was 72nd out of 75 at 0.76 ppp on 3.2 per game

Massive offensive shift, especially in a playoff setting…",2,2
"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",2,0
"Fantasy Impact

BUCKS
Damian Lillard & Giannis slight 
Khris Middleton  

BLAZERS
Deandre Ayton 

Assuming Jrue is moved again & a   doesn’t return:

Scoot Henderson ",1,0
"Damian Lillard trade recap, per 
@wojespn
: 

Bucks get: Damian Lillard

Suns get: Jusuf Nurkic, Grayson Allen, Nassir Little and Keon Johnson

Blazers get: Deandre Ayton, Jrue Holiday,  Toumani Camara, a 2029 unprotected MIL 1st, and unprotected MIL swap rights in 2028",1,0
"Bucks fans, how you feeling about the Damian Lillard trade?!",1,0
Spoelstra would've deployed him more effectively but Giannis has way more in the tank than Butler at this point and Miami still isn't beating the Nuggets even with Lillard. Giannis + Lillard probably aren't beating them either but it's better odds.,0,0
Who’s got that Damian Lillard or Giannis Antetokounmpo video?,1,0
"Giannis-Dame and Kareem-Oscar got some parallels, just saying",2,0
"I feel sorry for Damian Lillard. After running from the grind all these years, now he has to start a season with real championship expectations and superstar stakes",2,0
I should’ve known the Bucks we’re gonna trade for Dame after Giannis talked about him like this lmfao,1,0
Damian Lillard // Milwaukee Bucks,1,0
Bucks NBA champions already.,2,0
"Dame was making unsolicited “I’m a martyr that doesnt run from the grind/ring chase, unlike these other NBA Stars” for years & years, even after he signed an extension that he never planned to stick to…then put out a single after forcing his way out… & almost everyone is…",0,0
"Good luck with the Bucks, Dame. Its been real.
Thanks for cooking Paul George with that game winner",1,0
" Damian Lillard traded to the Bucks! 

Quick reactions on Dame &amp; Giannis, the Trail Blazers' waiting game, Suns swapping Ayton for Nurkic.

: https://youtube.com/watch?v=_WX8ORKxXdw…
: http://apple.co/3CUsJOD
: http://spoti.fi/2xpWzKb
: http://bit.ly/328C8PN",1,0
fb bra,1,0
"Well, tonight pod just took a turn 
@Dame_Lillard
 @Bucks
 @trailblazers
 
#NBA #dametime",1,0
Dame & Giannis in NBA JAM would be tooouuugghhh  lol,2,0
"The Dame trade now comes down to the bidding war that Joe Cronin can manufacture for Jrue Holiday. If he gets back two 1sts for Holiday, it's okay. If he gets back three 1sts, the Dame trade is a win for Portland.

Holiday made comments about retiring after his contract is up ...",1,0
"It sucks the Heat missed out on Damian Lillard but I am very glad this saga can be put in the rear view mirror.

I would have loved a different outcome but we can finally put our focus on the upcoming season.",1,0
"I have mixed emotions about this deal simply because everything Jrue meant to this franchise on and off the court. Just an A+ human. But man what a statement move from Jon Horst and Bucks ownership. You worried about the Bucks’ “commitment,” Giannis? Alright, here’s Dame Lillard.",2,0
"Damian Lillard’s agent, Aaron Goodwin on the Heat:

“They did everything they could to acquire Dame. It takes two to get a deal done. I appreciate all that Pat, Andy and Micky did to try and make this happen.”

(via 
@Anthony_Chiang
)",1,0
"Fr, Giannis 100% guards KD but KD doesn’t guard him",2,1
"Dame! My favorite non-Buck is now a Buck!!!!  Gonna be more river backflips in Milwaukee June ‘24!  Light it Up!!!

https://fb.watch/nktG8Bt_Wm/?mibextid=M4545i…",2,0
"""The Bucks are stuck""
""The Bucks have no assets""
""The Bucks can't trade for Dame""

Horst gawd:",2,0
Every season is different. How many people picked Denver to win the title last season? Cavs aren’t yet a title contender. That’s okay. We on a different timeline. The Dame trade just makes the road tougher. We good for now.,2,0
"New for ⁦
@YahooSports
⁩: the Milwaukee Bucks heard Giannis Antetokounmpo loud and clear, acquiring Damian Lillard and setting the stage for a pressure-packed Finals run",2,0
Giannis x Dame is going to be CRAZY scary ,2,0
Giannis had a high praise as always for Damian lillard ,2,0
Both the #Suns and #Bucks' #NBA title odds went up after the trade involving Damian Lillard and Deandre Ayton. One of them now has the best odds to win the NBA championship in the upcoming season. #FearTheDeer #WeAreTheValley,2,0
Still mind blown that the Bucks traded for Dame to pair with Giannis. Like this is absolutely wild. We have the best duo in the league now and 2 top 10 players. The amount of growth this franchise has had since new ownership and new general management is amazing. Love it.,2,0
The celtics,1,0
The 3 stages of being a Heat fan #MiamiHeat #Heat #Dame #NBA,1,0
Will Lillard make any difference in Bucks NBA hopes?,1,0
RT this tweet if you can't wait for the Milwaukee Bucks to be the 2024 NBA Champions ,2,0
Sometimes the NBA really has a habit of painting itself ,1,0
"After Damian Lillard's trade to the Bucks, the Dubs' trio are now the longest active tenured players with the same team ",1,0
".
@MiamiHEAT
 odds to win NBA Championship at 
@BetMGM
 

+1000: Before Dame trade

+3000: After",1,0
"Congratulations to the Portland Trailblazers, the city of Portland, and the Portland media for winning your 2023-24 NBA championship: Not trading Dame to the #HEAT. You did it! Hang the banner!",1,0
"On today's show, 
@Bulls_Peck
 & 
@BawlSports
 broke down a LOT of Bulls & NBA news:

how does Dame to Bucks affect Bulls?
 Arturas Karnisovas & Marc Eversley speak...what made sense and what didn't?
 DeMar shoots down rebuild idea",1,0
"He already had this song pre recorded and ready to drop lol! Good luck with the Bucks Dame, don’t worry about what the haters and critics say!",1,0
"I broke down today's huge Damian Lillard trade from all angles for 
@spotrac
:

-What does it mean for MIL, Dame and Giannis?
-Where does POR go now?
-Did PHX get better?
-What about MIA and TOR?

Financial impacts for all three teams too. Read more:",1,0
WISH I COULD FIND MY TWEET WHERE I PRAYED FOR LILLARD TO GO HELP GIANNIS CAUSE MIDDLETON IS TOO TIMID.,2,0
"After 11 seasons in Rip City, Damian Lillard is headed to the Milwaukee Bucks 

The get-in price for his return to Portland on January 31st has spiked +161% in the last hour from $44  $115  ",1,0
Tyler Herro backs Jimmy Butler’s request for Bucks to be investigated for tampering in Damian Lillard deal:,1,0
"What would  title mean for Dame & Giannis' legacies?

— 
@Chris_Broussard
 explores:",1,0
"#NBA Real Championship Contender Rankings 

(post Damian Lillard trade):

1) Bucks
2) Suns
3) Nuggets 
4) Warriors
5) Clippers
6) Heat
7) Mavericks
8) Wolves
9) Lakers
10) Celtics",2,0
My two favorite players in the NBA are on the same team.  Unfortunately it’s the Milwaukee Bucks.,1,0
Seeing Lillard and Giannis 4 times a year as a Piston fan ,1,0
"I feel like the Bucks just pulled a Mr. Chao on the Heat. Sure, they locked Milwaukee in the trunk in the playoffs last spring, but now the Bucks just stole Dame out of their laps. #YouWantToFckOnMe?",2,0
"Will the Damian Lillard trade keep Giannis Antetokounmpo in Milwaukee ?  

CLICK HERE TO SEE FULL CLIP :
https://youtube.com/watch?v=qOlj6muN5Y4&t=2940s…

FOLLOW US FOR MORE : https://linktr.ee/gimmethehotsauce21…",1,0
LMFAOOOOO DAME GIANNIS KHRIS PAT BROOK BETTER,2,0
"DAMIAN LILLARD MILWAUKEE BUCKS REBUILD! NBA 2K24 https://youtu.be/-H1rTmPjxIw?si=3xXtsDEsfX7FwswH… via 
@YouTube",1,0
Grades for the three-team trade sending Damian Lillard to the Milwaukee Bucks: https://espn.com/nba/insider/insider/story/_/id/38462211/nba-trade-grades-2023-24-breaking-most-impactful-deals… (ESPN+),1,0
Niggas went from Beal to Dame to the worse playoff dropper in the NBA ,1,0
"Damian Lillard is finally leaving Portland.
 #DAMEDOLLA",1,0
"1. Giannis Antetokounmpo
2. Damian Lillard 
3. Khris Middleton 

The best BIG 3 in Basketball",2,0
"Senator Bob Menendez Faces Bribery and Corruption Charges Amidst #Crypto Controversies
#Airdrop #Binance #DeFi #memecoin #pulsechain #Dame #Jrue #Bucks #cryptonewserc20 #Corinthians #cashapptrivia #Lillard #Ethereum #Bitcoin #Pepecoin #NFT #NFTs #BTC",1,0
Warriors/Bucks NBA Finals. We will be there,2,0
" OFFICIEL !!

DAMIAN LILLARD EST OFFICIELLEMENT TRADE CHEZ LES MILWAUKEE BUCKS !!!

HERE WE GO.
@ShamsCharania
.",1,0
Jimmy Butler telling the NBA the Bucks tampered mere seconds after learning he’s getting Dame,1,0
"Here’s what Dame Lillard teaming up with Giannis means:

• Giannis will solidify himself as a top 10 player ever.

• Dame Lillard will win his first championship.

• The 
@Bucks
 will win championships, plural.",2,0
how Giannis reacted to the dame trade,1,0
Give me this 5 over Dame & Giannis Bucks,0,0
When’s the roster update?  tryna cook someone with the Bucks.,2,0
"Per 
@NBACapSquad
 the Bucks are  $1.8M shy of 2nd Apron after Dame trade . Giannis, Middleton, Lopez, Portis and Connaughton can all become FA's in 2025. '25/26 cap ballparked at ~$165M & 2nd Apron @ ~$221M.  Teams can exceed cap to re-sign own players but tax will hit hard.",1,0
"You’re just spitting facts today. 

Put Khris in the weak side corner of a Dame/Giannis pnr and make his defender choose their poison",2,2
"Damian Lillard TRADE: Bucks NBA CHAMPS 2024!? #shorts https://youtu.be/H4Jvvpl62c4?si=cKi3ZoTNh5-116Ry… via 
@YouTube
 #NBA #nbanews #nbatrade #DamianLillard #Blazers #bucks #Suns",2,0
Bucks fans watching Damian Lillard step onto the court at Fiserv Forum on October 26th,2,0
Do you think the Damian Lillard trade just made the Milwaukee Bucks the best team in the NBA?,1,0
"How we feeling #Bucks fans? 

#NBA || #FearTheDeer",1,0
Portland just got an upgrade of their roster. Interesting that the Bucks NBA finals odds just leaped up too #DamianLillard #SucioSportz,2,0
Dame! Not sure how you feel about the trade but the WHOLE east coast is excited to see you at an earlier time.,1,0
"Hey I’m an upcoming sports journalist, if you guys have time check out my video on the Dame trade and any ideas or ways I could get better I would greatly appreciate it

Dame To The Bucks!",1,0
"What do the Milwaukee Bucks look like following the Damian Lillard trade?
@CornelissenNBA
 broke it all down. #FearTheDeer",1,0
"The Dame trade is your daily reminder, these jobs don’t care about you.",1,0
"1. LeBron James and Anthony Davis
2. Damian Lillard and Giannis Antetokounmpo 
3. Jamal Murray and Nikola Jokic
4. Devin Booker and Kevin Durant",2,0
"Heat fans deep in their feelings right now because they know they lost both Dame,  Giannis, and their window is closing fast. 

But, hey at least they still have future franchise player, Tyler Herro!",1,0
"Giannis worked out with Hakeem
Damian Lillard is my PG
Bud fired
Marjon year two leap coming 
Khris had a full offseason of rest 

We coming for #2",2,0
"The Bucks and Suns were in the Finals two years ago. Now, they both look drastically different. The NBA moves faster than ever, quicker than ever",1,0
"Solid emergency show Winks! 

IT’S DAME TIME!  

#Bucks #NBA #DamianLillard #FearTheDeer",2,0
"Oh, and I'm beyond delighted that every obnoxious, ""they'll take what they're given"" Heat fan will be miserable lmao. Giannis and Dame off the board",1,0
"Dynasty reaction re: Dame trade

 Ayton
 Nurkic (no shutdown risk, only injury...I'd target Eubanks)
 Bam (if you dropped him b/c of Dame,  if not)
 Every kid on POR (KMurray/Rupert/JWalker) *and* MIL (MarJon/TyTy/AJackson). Chance to step up
 the next G that MIL gets",1,0
"The way you play Bucks now is by attacking Dame on every possession. Literally every single one. 

They will try to hide him & you seek him out like Bron did at the end of Blazers game. 

The domino effect is foul trouble for Giannis/Lopez & tired Dame.",0,1
"Giannis worked out with Hakeem
Damian Lillard is my PG
Bud fired
Marjon year two leap coming 
Khris had a full offseason of rest 

We coming for #2",2,0
Went to sleep and woke up to Dame being traded to the Bucks?!????,1,0
Steve Kerr is trying to figure out if CP3 will start — meanwhile the Phoenix Suns and Milwaukee Bucks just got loaded,2,0
"https://sportsradioamerica.com/2023/09/27/its-dame-time-in-milwaukee/…
@SkPatrick90
 breakdown the blockbuster trade of Damian Lillard to the Bucks. 

#Nba",1,0
NBA teams reacting to bucks trade for Damian Lillard,1,0
"The 2 Man Game | Dame & Giannis

The bucks become so dangerous in the 2 man game. 

With Lillard being such a threat to score out of DHO & BS the defense is going to have to pick & choose.

Giannis passing ability out of short roll  will open up the floor for open shooters",2,2
If harden had comparable value to jrue in trade landscape wouldnt sixers have been able to do the same deal for dame bucks just did? So i assume would need more assets,1,0
"Bucks - NBA Champions 2024. 

Save this Tweet. 
You read it here first.",2,0
"BREAKING NEWS

Damian Lillard is heading to the Milwaukee Bucks in a three team trade

#Bucks: Damian Lillard
#Suns: Jusuf Nurkic
#TrailBlazers: 
2029 First Round Pick from the Bucks
2028 and 2030 First Round Pick Swaps
Jrue Holiday
Deandre Ayton",1,0
"Bucks legend Jon McGlocklin says the Damian Lillard trade is very similar to when they added Oscar Robertson to pair with 
@kaj33
 and immediately won the NBA title. 

He says that Bucks team knew right when they made the trade ""we're it.""",2,0
"Giannis, Embiid, “KD” are not better than Steph LMAOO",0,0
"The Warriors present the biggest threat to the Milwaukee Bucks due to their lack of perimeter defense. Unlike other teams, like the Lakers, we do not rely on Biggs for our offense.",1,0
Who was the target demographic on this single? Aggregators? Did Dame make a track for NBA Central and Legion Hoops? Lmao,1,0
Blazers trade Damian Lillard to Bucks in shocking NBA blockbuster https://trib.al/OUJ6S4f,1,0
Damian Lillard clowned Paul George for going back to his hometown but then runs from the grind himself and joins the number 1 team in the NBA last season,1,0
"Here's my reaction with 
@GhostlyAmethyst
  to the News about Damian Lillard being traded to the Milwaukee Bucks ",1,0
Grades for the three-team trade sending Damian Lillard to the Milwaukee Bucks: https://espn.com/nba/insider/insider/story/_/id/38462211/nba-trade-grades-2023-24-breaking-most-impactful-deals… (ESPN+),1,0
Milwaukee Bucks acquire Damian Lillard in 3 team deal with Portland and Phoenix   https://celticslife.com/2023/09/milwaukee-bucks-acquire-damian-lillard.html?utm_source=dlvr.it&utm_medium=twitter…,1,0
"today is a exciting day,

i dropped a new EP 

fall is starting,
Milwaukee Bucks got DAME, 

just a nice vibe. happy for my city milwaukee, gotta take a trip back and catch a game",2,0
"Giannis, Dame and Middleton WOW!!!!!!!!!",2,0
"when evaluating the Dame trade from Portland's pov, its important to note that they value Ayton differently than many of us

I see a lot of ""Blazers got fleeced!"" tweets, but that's kind of an oversimplification....

the Blazers view Ayton as an asset & longterm building block ",1,0
Milwaukee Bucks have one bad season then get Damian Lillard like wtf,2,0
"Damian Lillard Agent privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there via 
@MarcJSpears",1,0
"Damian Lillard- Milwaukee Bucks PG:

Damn…",1,0
"A era Lillard oficialmente chegou ao fim.

- Portland: Deandre Ayton, Jrue Holiday, Toumani Camara, pick 1º round MIL (2029 sem proteção), pick swaps MIL (2028/2030)

- Phoenix: Jusuf Nurkic, Grayson Allen, Nassir Little e Keon Johnson

- Milwaukee: Damian Lillard

- Miami: Heat",1,0
Give me this 5 over Dame & Giannis Bucks,0,0
"My favorite NBA player 
@Dame_Lillard
 playing in the same city as the 
@Brewers
?",1,0
"There is no loyalty in the NBA anymore. But there is Damian Lillard...

11 seasons.
769 games.
27,942 minutes.
2,387 threes.
19,376 points.
1 All-Star teammate.
0 MVP teammates.
0 6MOY teammates.
0 DPOY teammates.
0 complaints.

1 team.",1,0
"Waiting for the 
@ZachLowe_NBA
 Dame to the Bucks podcast. Hurry up, Zach!!!",1,0
Miami Heat make several roster moves in wake of Damian Lillard landing with Milwaukee Bucks:,1,0
"My thoughts on 
@Dame_Lillard
 traded to the 
@Bucks
 in a 3 team deal. #DameTime #Dame #Lillard #Giannis #sports #Trending #SportsNews #NBAPlayoffs #nba #BucksCounty #Bucks #jrue #basketball #YouTube #PodcastAndChill #TikTok #NBATwitter #INSTAGRAM #socialmedia #MilwaukeeBucks #OMG",1,0
"Hey so...given that Toronto and Miami had better packages and Jimmy AND Herro are telling the NBA to investigate the Bucks...what type of back door deal might've been struck?

Are Wes Edens and Jamie Dinan making financial promises they're not allowed to make to Jody Allen?",0,0
"LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD FOR 3 

GIANNIS WITH THE BLOCK 

LILLARD … for 3 MORE ",2,3
HOT take but the Milwaukee Bucks are going to be a very good basketball team.,2,0
"Milwaukee is home to the Allen-Bradley Clock Tower, the largest four-faced clock in the United States and the second largest in the world.

Dame in front of the clock, pointing to his wrist, is a slam dunk for the Milwaukee Bucks marketing team.",1,0
Dame and Giannis is going to be insane.,2,0
"Wow, Damian Lillard got traded to the Milwaukee Bucks. I’m just now seeing this.  

Oh well, hopefully the Knicks can get Joel Embiid! 

#Knicks #Bucks #NBA",1,0
O NOVO MILWAUKEE BUCKS ,1,0
"BREAKING: Damian Lillard Moves to Bucks in Unexpected Trade

In a major NBA shakeup, Damian Lillard, the long-standing face of the Portland Trail Blazers, has been traded to the Milwaukee Bucks. This move is part of a complex three-team deal that also involves the Phoenix Suns.…",1,0
Absolutely fucking not,1,0
"The Blazers essentially traded Damian Lillard to the Bucks for Jrue Holiday, Grayson Allen, a first-round pick and two swaps. 

That’s all the Bucks gave up. 

Then Portland traded Nurkic, Little, Keon and Allen for Ayton and Camara.  

The value in the Dame trade depends on what…",2,0
"The Milwaukee Bucks, are winning the next 3 NBA championships.",2,0
all jokes aside we need that rematch!!!,1,0
I’m an elementary teacher and some 5th grader ran down the hallways screaming “DAME AND GIANNIS” lmao,1,0
"the MILWAUKEE BUCKS have TWO SUPERSTARS on their team

wow",2,0
Damian Lillard to the Milwaukee Buckslets go,2,0
"Milwaukee Bucks NBA Championship Odds 2024: Damian Lillard trade sees Bucks emerge as odds-on favorites https://ift.tt/1oWY0Vm
#sports #livesports",2,0
"Wanna know something crazy about the Bucks? Even after acquiring Dame, they still have the ability to trade two first round picks next summer if they chose to.",2,0
Well he will be on East contender… the Milwaukee bucks when he gets bought out and signs the vet min with us:),1,0
"Drew Timme, Damian Lillard will be Milwaukee Bucks teammates.",1,0
"Dame & Giannis, booker & kd, lebron & ad, tabum & brown",1,0
Me and bro ,1,0
that first Dame x Giannis linkup at the Packers game hittin like FETTY,2,0
dame the only player in nba history to get traded then drop a new song instead of tweeting a goodbye like a normal player,1,0
Never be deterministic in your answers. #bucks #NBA,1,0
who dealing with kd and book and a huge threat in beal???,0,0
Me running to bet on Milwaukee as 2024 NBA champion after hearing about the Dame Lillard deal,2,0
Media had to go from trying to shove Giannis out of Milwaukee to having to talk about Giannis and Dame being the best duo in the NBA within 24 hours. Gotta love it ,2,0
"Really,  the slander. Guess 3/4 Finals appearance without Lillard, Giannis, X star means nothing. Certain teams can't get to playoffs, get out of 1st round, or are raising banners for 2nd round exits.  
These casuals are shook. Like the Heat says, the ""For Competitors Only"".",0,0
Let’s go Dame Lillard of the Milwaukee Bucks,2,0
This kid said Giannis can’t guard kd bro  you can tell who watches basketball ,1,1
"Giannis always been a Dame fan  (via 
@NBA
)",1,0
Dame going to the bucks???? Giannis and dame on the same damn team??? going to have to sleep on this one before it becomes a reality. ,2,0
"Here's my reaction with 
@GhostlyAmethyst
  to the News about Damian Lillard being traded to the Milwaukee Bucks ",1,0
Dame winning the 2023 NBA 3pt contest,2,2
"crazy cuz the TL for giannis getting dame an all star is oh "" whos stopping this duo"" but kd "" how much help does kd need "" ",1,0
"Giannis picked Lillard first in the All-Star Game, right?",1,0
"Giannis, Dame Lillard, Middleton against KD, Booker, Bradley Beal",1,0
"Just a heads up - this will be a Portland Trail Blazers AND Milwaukee Bucks fan account this season

I warned ya ",1,0
Who’s got that Damian Lillard or Giannis Antetokounmpo video?,1,0
"Milwaukee Bucks General Manager after Jrue Holiday said ""I'm a Bucks for life.""   ",1,0
"Nah Dame leaving is best for everyone in the grand scheme. Dude didn’t quit on them, and he got sent to a contender. Blazers got back some nice pieces. Win win",2,0
"I know Damian Lillard is already really popular, but I wonder if even more people will become fans now that more than half his games won't be played at 10 PM ET or later?",1,0
"I guess I do have one thing to add, which is that the whole Dame trade saga added the Trail Blazers to the list of things I am fundamentally cynical about, which feels like a significant loss. I’m sad about that.",1,0
"I am still tied with Dame for NBA finals minutes, for now.",1,0
"BUCKS 2023-2024 NBA CHAMPIONS, BET THE HOUSE",2,0
"Jimmy Butler Said This After Hearing Damian Lillard Went To The Bucks: “Yo NBA Man, Y’all Need To Look Into The Bucks For Tempering.”",1,0
"Annnnd cue the NBA Lounge music on 
@WiscoGrant
 Sports Show!! Gotta Love it after the Dame Trade",1,0
Literally anyone,1,0
"New Locked on Bucks w/
@CamilleMonae
 

Damian Lillard has been traded to Milwaukee. Noteworthy.

 https://youtu.be/EBYHxyX0Pro
 http://linktr.ee/LockedOnBucks",1,0
"National media will be telling us how the Bucks, a team that lost to an 8th seed, shouldn’t have given up those guys in a trade for Dame Lillard. Sorry folks, no one is safe when you soil the bed that badly",2,0
"I'm told by Celtics fans all year long that player x is bad because they don't play D when it comes to trade ideas. Now these same people are gassing up Dame to the Bucks.

Just pick a value. Do you value D or not? If you do, Dame on the Bucks shouldn't make them runaway   favs",0,1
"nonsense. kd came for free
bucks got dame for an allstate and another player who started 70 games. 

more then that, notice you’re saying 2021 giannis it’s the start of 23-24. steph got kd the moment he lost.",1,0
"""Damian Lillard will be playing this year in the NBA Finals! This is great for Dame, for Giannis, for Milwaukee and for the NBA.""

—
@AdamSchein
 on the Damian Lillard trade",2,0
Milwaukee Bucks Land Damian Lillard! Breaking Down The Bucks-Blazers-Suns Three-Team Deal,1,0
BREAKING: Superstar Damian Lillard Traded to the Milwaukee Bucks,1,0
Will the MIL Bucks win the 2024 NBA Finals? ,1,0
"Dame trade: My take is that it is absolutely hilarious that Dame wanted to live in Miami and now has to live in Wisconsin, that Milwaukee prides their success on defense and size which they just lost in a major way, that Miami is the ultimate loser, and the C’s are a finals lock",0,1
"Dame,Thank you for everything

Best wishes for your career",1,0
The smile of a man who knows he's not in Dame trade packages anymore,1,0
"Me not having to deal with Dame trade rumors, speculation, & hot take bullshit artists anymore. #RipCity",1,0
Per sources: Dame is lactose intolerant. Bucks are doomed.,1,0
"Trade summary:

Bucks get - Damian Lillard
Blazers get - Jrue Holiday, Deandre Ayton, Toumani Camara, 2029 1st-round pick
Suns get - Jusuf Nurkic, Grayson Allen, Nassir Little, Keon Johnson",1,0
The only person that can display our anger over the Damian Lillard trade #HEATCulture,2,0
"The Milwaukee Bucks have made unquestionably the biggest trade in franchise history since Oscar Robertson today in acquiring 7x All Star PG Damian Lillard

In just under a month, he’ll suit up 
@FiservForum
 season & home opener vs Sixers

#FearTheDeer",1,0
Agreed,1,0
Giannis-Dame is going to be the most dangerous 1-2 since Shaq-Kobe,2,2
2k too slow with the updates I’m bout to make the Dame trade myself and update the rosters,1,0
Found it! Said this over 5 years. This was before the Bucks won a Championship but I still counting this as a win. #Calledit #Dame #Giannis #Bucks,1,0
When you realize the nickname for the Dame and Giannis team up is going to be “Freak Time” #NBATwitter,1,0
